,P.Value,deltaBeta,feature
cg02692052,3.89E-20,-0.166598304,TSS200
cg08147181,3.87E-20,-0.559922247,Body
cg00819233,3.70E-20,0.500243925,TSS1500
cg18675735,3.61E-20,-0.229177261,IGR
cg24654025,3.56E-20,0.281830491,Body
cg16266672,3.51E-20,0.332845364,TSS1500
cg27504369,3.48E-20,-0.592153233,1stExon
cg11165667,3.39E-20,0.209038713,3'UTR
cg14759482,3.23E-20,0.393682239,Body
cg22152446,3.17E-20,0.482795853,5'UTR
cg25850044,3.01E-20,-0.413115202,IGR
cg04951371,2.87E-20,0.412875622,Body
cg20464884,2.86E-20,0.339934047,Body
cg11984971,2.79E-20,0.616542061,IGR
cg20817941,2.65E-20,0.436556925,1stExon
cg25327343,2.62E-20,-0.471599265,Body
cg15672768,2.58E-20,0.544639007,Body
cg09327582,2.58E-20,0.433992013,Body
cg01783679,2.53E-20,0.456069979,Body
cg14308254,2.47E-20,0.20524545,Body
cg24176311,2.46E-20,0.228678406,Body
cg16147932,2.45E-20,0.386550351,5'UTR
cg03074946,2.44E-20,0.422064131,5'UTR
cg09935667,2.39E-20,0.534461211,Body
cg24392479,2.37E-20,-0.100073596,TSS1500
cg08013737,2.30E-20,0.482192504,Body
cg16081096,2.29E-20,0.512869269,Body
cg10783149,2.23E-20,0.315219532,IGR
cg00905312,2.18E-20,0.331080555,Body
cg24152080,2.17E-20,0.321136701,Body
cg25862975,2.15E-20,-0.234319947,IGR
cg10675725,2.15E-20,-0.119775884,TSS200
cg26422458,2.12E-20,0.657777159,5'UTR
cg04087789,2.11E-20,-0.122534167,Body
cg12109968,2.04E-20,-0.264749365,Body
cg12744634,2.02E-20,-0.23669712,TSS1500
cg25562834,2.00E-20,-0.182867815,Body
cg16190225,1.93E-20,0.492775912,Body
cg04573398,1.93E-20,0.529943815,1stExon
cg11311053,1.85E-20,0.431884232,Body
cg06495961,1.85E-20,0.645938921,1stExon
cg24159514,1.83E-20,0.588664298,Body
cg22991506,1.77E-20,-0.480040193,Body
cg05036991,1.73E-20,-0.648882745,Body
cg00999988,1.70E-20,-0.48224926,5'UTR
cg03731131,1.66E-20,0.468419533,Body
cg21879102,1.65E-20,0.568018518,Body
cg26682499,1.58E-20,-0.394389092,IGR
cg02371119,1.42E-20,-0.092285463,5'UTR
cg05102770,1.40E-20,0.378781624,3'UTR
cg18147605,1.37E-20,0.478298761,Body
cg17352045,1.36E-20,0.360551941,Body
cg07333191,1.35E-20,0.628237189,IGR
cg05486094,1.31E-20,-0.512467699,TSS200
cg00630991,1.29E-20,0.293915634,3'UTR
cg16768018,1.28E-20,0.604593837,Body
cg12492087,1.24E-20,0.670348241,TSS200
cg23858195,1.23E-20,0.242321479,Body
cg06046430,1.20E-20,-0.132776339,TSS1500
cg11633422,1.11E-20,0.162543529,Body
cg21632158,1.11E-20,0.473053037,IGR
cg22014972,1.10E-20,0.219188815,TSS200
cg06332304,1.08E-20,0.505070875,5'UTR
cg13280041,1.08E-20,0.627953094,Body
cg15549927,1.05E-20,0.474610838,Body
cg16711650,1.03E-20,-0.320770324,IGR
cg13695933,9.86E-21,0.446416576,5'UTR
ch.6.2925136R,9.51E-21,-0.196910707,Body
cg14558529,9.00E-21,0.665547674,IGR
cg04271792,9.00E-21,-0.100098771,IGR
cg00448814,9.00E-21,0.394828852,1stExon
cg04218899,8.55E-21,-0.162893458,1stExon
cg04528771,8.52E-21,-0.398857816,Body
cg07717903,8.48E-21,0.462791703,Body
cg05165862,8.10E-21,0.500322768,Body
cg09621472,8.09E-21,0.506275143,3'UTR
cg07570069,8.08E-21,0.316845648,TSS1500
cg26873164,8.04E-21,-0.235090467,TSS1500
cg05049448,7.98E-21,0.582423304,Body
cg04749104,7.96E-21,-0.082531574,TSS1500
cg19223129,7.87E-21,0.458400409,Body
cg16146718,7.59E-21,0.343951711,Body
cg08378505,7.42E-21,-0.105969028,Body
cg23248887,7.38E-21,0.636558382,Body
cg17017161,7.35E-21,0.165180557,Body
cg18594963,7.29E-21,0.297681969,Body
cg16640450,7.07E-21,0.313342697,Body
cg02130107,6.97E-21,-0.297727409,Body
cg12390011,6.71E-21,-0.431702498,TSS200
cg27616751,6.48E-21,0.227041267,3'UTR
cg01053681,6.44E-21,0.185508257,5'UTR
cg19465605,5.84E-21,0.391504705,Body
cg01230386,5.77E-21,0.332819696,Body
cg10825530,5.75E-21,-0.556833008,Body
cg14791193,5.40E-21,0.445893056,Body
cg04155830,5.38E-21,-0.112913111,TSS1500
cg07891533,5.06E-21,-0.483393581,IGR
cg11438039,5.04E-21,0.633422892,Body
cg01994290,4.92E-21,-0.381732213,TSS1500
cg17578639,4.80E-21,-0.685739654,5'UTR
cg03295274,4.77E-21,0.506309401,IGR
cg25195899,4.65E-21,0.513262012,3'UTR
cg17266278,4.53E-21,0.333220129,Body
cg09803764,4.36E-21,0.436128779,Body
cg22691524,4.28E-21,0.37025972,IGR
cg16047049,4.16E-21,0.236138619,Body
cg23225748,4.10E-21,-0.240715411,IGR
cg05780177,4.07E-21,-0.149866153,TSS200
cg04637704,3.94E-21,0.160552178,Body
cg21273275,3.89E-21,-0.593083333,TSS1500
cg09706573,3.88E-21,0.209465501,Body
cg04770218,3.83E-21,0.27157269,3'UTR
cg18005337,3.80E-21,0.309536621,Body
cg19592637,3.51E-21,0.46686635,TSS1500
cg24996161,3.50E-21,0.505580536,Body
cg00616129,3.46E-21,-0.074824716,TSS200
cg04763273,3.44E-21,0.2606228,IGR
cg08900371,3.21E-21,-0.058629673,TSS200
cg19795292,3.03E-21,0.443492302,5'UTR
cg10899768,3.02E-21,-0.596997888,Body
cg26474124,2.93E-21,-0.55213236,IGR
cg27519016,2.91E-21,0.294037719,Body
cg25718696,2.90E-21,0.161656687,Body
cg27431877,2.87E-21,0.407755404,Body
cg14171824,2.80E-21,0.620170829,Body
cg23948443,2.73E-21,0.291125396,Body
ch.2.23282842R,2.70E-21,-0.094954533,IGR
cg17297328,2.68E-21,-0.195634739,TSS1500
cg00821483,2.61E-21,-0.273023143,IGR
cg00147286,2.59E-21,0.346354578,Body
cg22822630,2.50E-21,0.40215879,Body
cg00749118,2.28E-21,0.210133707,Body
cg21238257,2.26E-21,0.215319499,Body
cg07230792,2.19E-21,0.334009603,5'UTR
cg27205902,2.19E-21,0.198114117,Body
cg09867883,2.16E-21,0.425050996,Body
cg16915803,2.14E-21,0.21380105,5'UTR
cg01304145,2.02E-21,0.321856753,3'UTR
cg24023026,2.00E-21,-0.278839611,IGR
cg01012445,2.00E-21,0.359507641,Body
cg08293097,1.98E-21,0.293093615,Body
cg04544533,1.98E-21,0.430446919,Body
cg16188537,1.88E-21,0.498399225,3'UTR
cg02104138,1.73E-21,-0.514475925,IGR
cg21103250,1.72E-21,0.231221485,TSS200
cg07366188,1.61E-21,0.346853054,3'UTR
cg25224048,1.61E-21,0.651518733,IGR
cg11840467,1.57E-21,0.395775742,Body
cg00702638,1.48E-21,-0.02954289,1stExon
cg00944001,1.41E-21,0.338782664,Body
cg22720431,1.30E-21,-0.44893206,IGR
cg06718763,1.28E-21,-0.272171996,TSS1500
cg26522708,1.27E-21,-0.596092735,5'UTR
cg15735240,1.24E-21,-0.353983158,Body
cg00454862,1.24E-21,0.267104141,IGR
cg03110787,1.23E-21,0.334506289,Body
cg16751493,1.19E-21,0.579535194,Body
cg23137531,1.17E-21,-0.079789914,TSS200
cg24221648,1.15E-21,0.674483585,IGR
cg00169897,1.13E-21,-0.516150837,IGR
ch.21.825836R,1.12E-21,-0.082904706,Body
cg13820205,1.11E-21,-0.617205716,Body
cg01282174,1.10E-21,-0.523690643,IGR
cg20713035,1.08E-21,0.223651295,Body
cg25502267,1.08E-21,0.440640962,Body
cg23109891,1.03E-21,0.229145078,Body
cg05219493,1.02E-21,0.372473291,TSS200
cg06335867,1.02E-21,0.682930824,Body
cg12663811,1.00E-21,-0.386336044,TSS200
cg02764346,9.71E-22,-0.11154708,TSS1500
cg18041815,9.32E-22,0.373680523,Body
cg21266845,9.14E-22,0.422737261,TSS200
cg05937737,8.98E-22,0.610143134,5'UTR
cg15105326,8.82E-22,0.470430143,Body
cg03598112,8.43E-22,-0.474581443,IGR
cg10674805,8.19E-22,0.188078776,Body
cg18860873,8.07E-22,0.431701525,IGR
cg14461974,8.00E-22,0.288410225,Body
cg06257378,7.88E-22,0.410677085,Body
cg18342832,7.83E-22,-0.065163646,5'UTR
cg03717836,7.45E-22,-0.538061448,IGR
cg20674128,7.38E-22,0.05061745,Body
cg22684370,7.26E-22,0.524944204,IGR
cg26640110,7.02E-22,0.445927905,Body
cg17919186,6.87E-22,-0.282341059,Body
cg07018404,6.86E-22,0.490532817,IGR
cg20677267,6.46E-22,0.469124651,Body
cg24123311,6.08E-22,0.09531543,IGR
cg03318904,5.72E-22,0.613317492,Body
cg26981170,5.65E-22,0.291572798,Body
cg17695537,5.59E-22,0.382536048,IGR
cg05514299,5.34E-22,-0.602888687,Body
cg17417584,5.29E-22,-0.117769275,IGR
cg23882019,5.28E-22,-0.345522821,TSS1500
cg11784626,5.27E-22,0.437055814,5'UTR
cg02893550,5.18E-22,-0.446335785,IGR
cg13920460,5.14E-22,-0.492471103,TSS1500
cg25612428,5.10E-22,0.283426163,Body
cg00412842,4.90E-22,-0.151499441,Body
cg19125370,4.82E-22,0.583061228,IGR
cg15938260,4.74E-22,0.256639413,Body
cg07792478,4.63E-22,0.725891458,TSS1500
cg05208056,4.58E-22,0.377747477,Body
cg03662459,4.49E-22,0.380427338,5'UTR
cg17895254,4.46E-22,-0.379049478,IGR
cg21736592,4.32E-22,-0.208925392,TSS200
cg14482093,4.30E-22,0.469897542,TSS1500
cg09020649,4.26E-22,-0.181370293,TSS1500
cg24211976,4.26E-22,0.625324096,IGR
cg10659886,4.21E-22,0.459678728,Body
cg24637044,4.17E-22,0.373538775,Body
cg13109106,3.89E-22,0.207059959,Body
cg17896879,3.86E-22,-0.093088458,5'UTR
cg03243965,3.82E-22,-0.204411258,5'UTR
cg16531664,3.64E-22,0.135803285,Body
cg18576301,3.57E-22,0.441441641,Body
cg05279738,3.49E-22,-0.528885007,IGR
cg26795333,3.41E-22,0.527517982,IGR
cg07216529,3.33E-22,0.434067753,TSS200
cg16382778,3.28E-22,-0.117429205,Body
cg21090298,3.17E-22,-0.314389658,TSS200
cg04379703,3.07E-22,-0.598472852,Body
cg18181229,3.05E-22,0.530858829,Body
cg18592195,2.91E-22,0.404066622,Body
cg07716089,2.72E-22,0.408002918,5'UTR
cg07319375,2.69E-22,-0.202301398,Body
cg24180006,2.68E-22,0.250503039,Body
cg08595782,2.68E-22,0.469067671,Body
cg24186398,2.50E-22,0.459294778,Body
cg06569947,2.40E-22,0.106011676,Body
cg09169796,2.35E-22,0.529550379,IGR
cg21355828,2.30E-22,0.619691275,IGR
cg19343530,2.23E-22,-0.088692624,IGR
cg17786215,2.14E-22,-0.314805862,Body
cg21402832,2.10E-22,-0.167696322,1stExon
cg01294808,1.96E-22,0.542265939,Body
cg24471254,1.91E-22,0.57567188,Body
cg02101812,1.89E-22,-0.546071053,IGR
cg24587268,1.80E-22,-0.116708651,TSS1500
cg18986651,1.79E-22,0.477362513,Body
cg26787199,1.68E-22,-0.30683332,3'UTR
cg00749609,1.61E-22,-0.253090511,IGR
cg02880169,1.61E-22,0.352176885,Body
cg04298847,1.61E-22,0.428665675,Body
cg18360825,1.59E-22,0.210295678,Body
cg10610648,1.59E-22,0.330513065,Body
cg05499054,1.58E-22,0.505403037,3'UTR
cg20782805,1.55E-22,0.192719383,Body
cg24185397,1.48E-22,-0.308757464,IGR
cg07351758,1.42E-22,0.405210773,Body
cg16419054,1.36E-22,0.462201072,Body
cg06225767,1.35E-22,0.419108484,Body
cg02396982,1.34E-22,0.400044452,Body
cg05167973,1.31E-22,-0.409377604,3'UTR
cg17602167,1.30E-22,-0.170220473,TSS1500
cg09145391,1.26E-22,-0.077392623,5'UTR
cg06962787,1.23E-22,0.432856679,1stExon
cg19889066,1.22E-22,-0.586803378,IGR
cg06491116,1.18E-22,-0.136044135,Body
cg24000908,1.17E-22,-0.537529727,TSS1500
cg26832686,1.10E-22,0.406690416,TSS1500
cg15458504,1.05E-22,-0.383755745,TSS1500
cg22135324,9.87E-23,-0.236087865,Body
cg00663986,9.84E-23,0.32264891,Body
cg16707227,9.75E-23,0.567647831,IGR
cg19427600,9.44E-23,0.291857309,Body
cg01940657,9.31E-23,0.48980747,Body
cg05115375,9.00E-23,-0.232573321,TSS1500
cg00016783,8.68E-23,0.186520642,Body
cg27159987,8.58E-23,0.436318003,Body
cg22500132,8.58E-23,-0.458768649,TSS200
cg07599144,8.57E-23,0.512394073,3'UTR
cg06720467,8.56E-23,-0.517652064,TSS200
cg01771479,8.40E-23,-0.455496515,IGR
cg15034393,8.30E-23,-0.186992182,IGR
cg01510218,8.04E-23,-0.433019828,IGR
cg18440230,7.78E-23,0.246402922,Body
ch.10.80061816F,7.55E-23,-0.23566761,IGR
cg25865120,7.33E-23,-0.435650985,Body
cg04723343,7.29E-23,0.496663957,Body
cg00214395,7.15E-23,0.569354907,IGR
cg21450888,7.07E-23,0.574868678,Body
cg08828594,7.02E-23,-0.134464538,IGR
cg13962372,6.95E-23,0.472668774,Body
cg26351001,6.91E-23,-0.27396385,IGR
cg02104456,6.60E-23,0.247362754,Body
cg03402235,6.56E-23,0.589511566,1stExon
cg12050175,6.48E-23,-0.622261893,IGR
cg22719241,6.31E-23,0.735998506,TSS1500
cg12497187,6.31E-23,0.511958307,5'UTR
cg12378878,6.18E-23,-0.210969734,TSS1500
cg15477040,6.12E-23,0.508401971,Body
cg21304234,6.11E-23,0.454132288,IGR
cg25142327,5.94E-23,0.32190384,Body
cg22251684,5.92E-23,0.389382392,Body
cg17003212,5.87E-23,-0.155046852,IGR
cg03760191,5.70E-23,0.125739402,IGR
ch.16.1667936F,5.35E-23,-0.109328872,IGR
cg11744021,4.93E-23,0.584619654,Body
cg23643813,4.87E-23,0.37911737,3'UTR
cg13830163,4.81E-23,-0.043728163,5'UTR
cg21047429,4.64E-23,0.207070936,Body
cg02828785,4.50E-23,0.389305348,5'UTR
cg19718563,4.49E-23,0.483960735,IGR
cg04147497,4.34E-23,0.478566768,Body
cg01292846,4.15E-23,0.311148834,IGR
cg04799232,3.73E-23,0.488121337,Body
cg16353624,3.68E-23,-0.21144809,Body
cg21199093,3.67E-23,0.653063511,Body
cg00743788,3.64E-23,-0.434213101,TSS1500
cg24530527,3.57E-23,0.122859011,Body
cg10140240,3.54E-23,0.241014116,3'UTR
cg16057598,3.51E-23,-0.100147908,TSS1500
cg26908825,3.37E-23,0.263863385,Body
cg01519063,3.32E-23,-0.594939551,Body
cg14063191,3.16E-23,-0.08434457,TSS1500
cg06794543,3.13E-23,0.683627161,TSS200
cg24411961,2.93E-23,0.528809722,5'UTR
cg07883457,2.83E-23,0.418973826,IGR
cg22052672,2.80E-23,0.325339051,Body
cg16662451,2.76E-23,0.476591758,5'UTR
cg26161057,2.57E-23,0.507194691,5'UTR
cg01745499,2.50E-23,-0.326163785,5'UTR
cg24828603,2.25E-23,0.316051672,TSS1500
cg02189785,2.21E-23,-0.141967612,1stExon
cg25351606,2.12E-23,0.53819957,IGR
cg04423187,2.02E-23,0.297045671,Body
cg26548718,1.87E-23,0.195628427,Body
cg19951818,1.86E-23,0.359279062,Body
cg11294513,1.85E-23,0.57080016,Body
cg20300343,1.76E-23,0.600191449,IGR
cg05386769,1.76E-23,0.604639346,Body
cg07786675,1.74E-23,-0.4727628,1stExon
cg21179088,1.72E-23,0.652642351,Body
cg16516712,1.71E-23,0.552293868,Body
cg18483459,1.63E-23,0.622744609,Body
cg17143843,1.63E-23,0.3098764,IGR
cg02580005,1.59E-23,0.35410675,Body
cg11607358,1.53E-23,0.407539247,Body
cg24214903,1.49E-23,0.323444839,Body
cg09934056,1.49E-23,-0.239622617,Body
cg00704780,1.36E-23,0.54043506,5'UTR
cg16755833,1.29E-23,0.316102857,Body
cg07283896,1.25E-23,-0.460502161,IGR
cg04883026,1.20E-23,-0.618605,Body
cg23251248,1.18E-23,0.319508533,TSS200
cg03739378,1.14E-23,0.460656256,Body
cg24691336,1.12E-23,-0.289868398,IGR
cg17444849,1.09E-23,0.376134605,Body
cg26303737,1.08E-23,0.431754023,Body
cg16986578,1.07E-23,-0.517604001,TSS200
ch.2.168147954R,1.02E-23,-0.061863896,IGR
cg16345114,9.95E-24,0.365519702,Body
cg14420490,9.78E-24,0.226165058,Body
cg21581504,9.16E-24,0.625562811,Body
cg26589351,8.91E-24,0.408450472,5'UTR
cg12509268,8.70E-24,0.352689129,Body
cg24389488,8.55E-24,-0.224851124,Body
cg06580800,7.79E-24,-0.536699351,IGR
cg03745493,7.33E-24,0.440880064,Body
cg17178220,7.31E-24,0.645652722,Body
cg11046030,7.19E-24,0.538019815,Body
cg01258488,6.93E-24,0.264167308,Body
cg03690837,6.89E-24,-0.143670348,TSS1500
cg01230325,6.88E-24,0.504095265,5'UTR
cg25574750,6.50E-24,0.330719026,IGR
cg20575277,6.31E-24,-0.164177541,5'UTR
cg16222367,6.28E-24,0.422713005,Body
cg01539484,6.27E-24,0.54235131,Body
cg26401551,6.21E-24,-0.160761146,IGR
cg24387542,5.79E-24,-0.363229673,Body
ch.3.2787532R,5.69E-24,-0.058272621,IGR
cg00174743,5.34E-24,0.453326243,Body
cg13938187,5.32E-24,0.539567713,3'UTR
cg05350293,4.82E-24,-0.330276887,IGR
ch.10.2770541R,4.81E-24,-0.169036499,5'UTR
cg06479254,4.58E-24,0.376119907,Body
cg03190267,4.45E-24,-0.261136855,Body
cg08555866,4.44E-24,0.405501,IGR
cg17092935,4.22E-24,0.363330727,IGR
cg09685096,4.22E-24,0.459785251,Body
cg15723222,4.02E-24,0.616635949,Body
cg17717010,3.78E-24,-0.207391241,IGR
cg24327132,3.75E-24,-0.426876632,5'UTR
cg12966875,3.30E-24,-0.385380607,TSS1500
cg16879247,3.28E-24,-0.156622728,TSS1500
cg10830713,3.19E-24,-0.073923344,5'UTR
cg09960641,3.10E-24,-0.442851492,TSS1500
cg04360793,3.09E-24,0.699832196,5'UTR
cg01233786,2.86E-24,0.319141015,Body
cg02772509,2.58E-24,-0.367744369,IGR
cg06345789,2.56E-24,-0.411381306,Body
cg16126079,2.54E-24,0.315029755,TSS1500
cg16555388,2.40E-24,-0.12233532,5'UTR
cg26415787,2.37E-24,0.455220872,IGR
cg27641532,2.36E-24,0.568971046,IGR
cg10022788,2.36E-24,-0.558385894,TSS200
cg07013148,2.34E-24,0.476619049,IGR
cg03001333,2.24E-24,0.485377938,Body
cg10667970,2.19E-24,-0.284971161,TSS200
cg07466560,2.13E-24,0.305964638,Body
cg14739664,1.91E-24,0.281650543,1stExon
cg24044478,1.77E-24,0.213805028,Body
cg12736877,1.77E-24,0.38813812,Body
cg03215714,1.53E-24,0.25749689,3'UTR
cg18140268,1.51E-24,0.568487515,IGR
cg11571702,1.49E-24,0.483683519,Body
cg07762458,1.36E-24,0.070755094,Body
cg00086283,1.28E-24,0.425382172,IGR
cg23793213,1.23E-24,0.230524803,Body
cg00497909,1.09E-24,0.314942111,Body
cg05458052,1.08E-24,-0.285465175,TSS1500
cg19612309,1.05E-24,-0.295788677,Body
cg16398581,1.04E-24,0.456419292,Body
cg06043315,1.04E-24,-0.272500317,TSS200
ch.1.64660926R,9.33E-25,-0.10915331,IGR
cg11366178,9.20E-25,-0.593060692,TSS200
cg09887059,9.00E-25,0.704125432,IGR
cg07195577,8.92E-25,-0.139227414,Body
cg10559633,8.68E-25,0.147252871,Body
cg11465213,7.72E-25,-0.661715214,IGR
cg24249695,7.48E-25,0.303063827,Body
cg04345541,7.00E-25,0.329069488,IGR
cg16766632,6.71E-25,0.499763871,Body
cg25142045,5.74E-25,0.285330301,3'UTR
cg14789818,5.70E-25,0.518216781,IGR
cg19888654,5.18E-25,0.222904869,Body
cg09719850,5.02E-25,0.338569882,IGR
cg12438413,4.73E-25,0.41544762,Body
cg00865054,4.48E-25,0.34908574,Body
cg17173816,4.00E-25,0.594557073,IGR
cg24701772,3.89E-25,0.43472741,TSS1500
cg17934775,3.86E-25,-0.405510628,Body
cg14265043,3.75E-25,0.433974829,Body
cg02030908,3.70E-25,0.444614709,Body
cg16404157,3.67E-25,0.583210941,1stExon
cg02901843,3.55E-25,0.41304713,3'UTR
cg25588852,3.50E-25,-0.221939672,Body
cg13289869,3.41E-25,-0.09684935,TSS1500
cg09426825,3.39E-25,0.42834552,Body
cg04372535,3.25E-25,0.29973836,Body
cg12313892,2.98E-25,0.590616237,IGR
cg01587198,2.91E-25,0.180975136,IGR
cg14822966,2.76E-25,-0.166805129,TSS1500
cg05798126,2.73E-25,0.432968652,Body
cg25974626,2.70E-25,0.161846286,Body
cg20192747,2.67E-25,0.522128583,IGR
cg07584855,2.56E-25,0.330800417,Body
cg23300486,2.49E-25,0.305757605,5'UTR
cg00593404,2.45E-25,0.614882724,Body
cg07015014,2.42E-25,0.35905609,Body
cg11994630,2.32E-25,0.299157217,Body
cg21669966,2.19E-25,0.300742597,Body
ch.7.42690727F,2.13E-25,-0.165638722,IGR
ch.2.1894803R,2.08E-25,-0.051785212,IGR
cg25713411,2.05E-25,0.198657941,Body
cg00751332,2.04E-25,-0.62761242,TSS1500
cg03103549,1.96E-25,0.397616234,3'UTR
cg11958827,1.93E-25,0.319782226,Body
cg04803930,1.90E-25,0.339176272,Body
cg04224064,1.88E-25,0.686251952,IGR
cg15600935,1.80E-25,0.417059621,Body
cg20606662,1.41E-25,0.166017756,Body
cg20534662,1.36E-25,0.347086059,Body
cg13831540,1.26E-25,0.482780704,Body
cg01015662,1.25E-25,0.419686298,IGR
cg16634971,1.15E-25,0.40088435,Body
ch.8.93711588R,1.12E-25,-0.120550065,IGR
ch.4.183293081R,1.09E-25,-0.22955765,IGR
cg18250135,1.08E-25,0.200296994,Body
cg09818397,1.08E-25,0.137585625,5'UTR
cg08067346,1.01E-25,0.493116052,Body
cg02637537,8.90E-26,0.697813457,Body
cg04071270,8.81E-26,0.394114721,IGR
cg24002149,8.67E-26,0.671465609,Body
cg03743861,8.24E-26,0.372759706,Body
cg26993251,6.97E-26,-0.094397181,TSS1500
cg04944806,6.17E-26,-0.264314389,IGR
cg17408291,6.16E-26,0.157794792,Body
cg15746620,5.94E-26,-0.483176035,TSS200
cg20441502,5.33E-26,-0.250222568,TSS1500
cg06395028,5.29E-26,0.338267407,Body
cg15811515,4.94E-26,0.709344296,TSS200
cg00770317,4.89E-26,-0.229603722,IGR
cg15858747,4.48E-26,0.346506911,Body
cg09836395,4.31E-26,0.36686882,3'UTR
cg26627956,4.29E-26,0.277124608,Body
cg18266783,4.02E-26,0.574521861,5'UTR
cg24128590,3.34E-26,0.488640263,3'UTR
cg23877008,3.34E-26,0.381361114,Body
cg27243686,3.07E-26,0.316550862,IGR
cg04377850,2.68E-26,0.263319551,Body
cg27318546,2.53E-26,-0.235663889,5'UTR
cg14369455,2.36E-26,0.300227751,Body
cg06051311,2.32E-26,-0.531166143,5'UTR
cg13708301,2.05E-26,-0.318168984,TSS1500
cg27302675,2.01E-26,0.343422103,Body
ch.7.33727552F,1.87E-26,-0.145921841,IGR
cg09341491,1.80E-26,0.396821788,Body
cg03930153,1.75E-26,-0.532181518,5'UTR
cg20025824,1.72E-26,0.369387352,Body
cg12710531,1.56E-26,0.501099854,Body
cg15084543,1.49E-26,0.703605698,5'UTR
cg02578087,1.40E-26,-0.67819005,Body
cg03353804,1.35E-26,0.241839722,Body
cg04871778,1.14E-26,-0.171035653,TSS200
cg09170232,1.14E-26,0.385277069,Body
cg13394216,1.04E-26,0.276131198,Body
cg01190109,1.04E-26,0.582103215,3'UTR
cg14054582,1.02E-26,0.478824607,IGR
cg19534805,1.00E-26,0.392738542,Body
cg19199590,1.00E-26,0.371058895,TSS1500
cg03182958,9.97E-27,-0.166286058,TSS1500
cg19689506,8.59E-27,0.437163549,IGR
cg07858113,8.10E-27,-0.117240143,3'UTR
cg17662182,7.94E-27,-0.104301324,IGR
cg16712468,7.38E-27,0.380567128,Body
cg25793630,6.65E-27,-0.076357686,IGR
cg18675097,6.40E-27,0.63497025,5'UTR
cg25839439,6.39E-27,0.624681311,Body
cg05948372,6.38E-27,-0.567021693,Body
cg11936410,6.34E-27,0.327957824,Body
cg23058246,6.14E-27,0.351377515,Body
cg15331383,5.44E-27,0.517836259,Body
cg16783204,5.24E-27,-0.430888515,IGR
cg15883181,5.12E-27,0.180747233,Body
cg08259810,4.83E-27,-0.410759468,TSS1500
cg16545496,4.75E-27,-0.052710297,TSS1500
cg07382070,4.71E-27,0.418047961,TSS200
cg27149973,3.58E-27,-0.462436348,Body
cg16693870,3.46E-27,0.227795294,Body
cg17353337,3.29E-27,0.610930285,Body
cg02772121,3.28E-27,-0.737364345,TSS200
cg10155147,3.06E-27,0.160148789,Body
ch.5.58219013F,2.97E-27,-0.10252656,IGR
cg12548824,2.51E-27,0.610131623,Body
cg20705882,2.41E-27,0.212844604,TSS1500
cg11699334,2.18E-27,0.467853827,Body
cg09440866,2.11E-27,-0.297131495,IGR
cg11667101,2.08E-27,-0.096876937,TSS200
cg01259423,2.06E-27,0.383937139,Body
cg05889541,2.06E-27,-0.166089221,IGR
cg09177080,2.04E-27,-0.233765959,TSS200
cg27288226,2.00E-27,0.642449332,IGR
cg00781839,1.97E-27,0.11921358,Body
cg17117459,1.75E-27,-0.644050307,5'UTR
cg25881851,1.71E-27,0.294795376,Body
cg04947157,1.59E-27,-0.608321595,Body
cg23838005,1.46E-27,-0.515835554,Body
cg26681687,1.44E-27,0.394385656,Body
cg03023152,1.26E-27,-0.443326524,Body
cg13151135,1.12E-27,-0.192351976,TSS1500
cg18638180,1.12E-27,0.622225667,Body
cg15836733,1.10E-27,0.449674459,Body
cg04794690,1.07E-27,-0.570949881,IGR
cg25006077,1.06E-27,0.449976579,Body
cg18239920,9.80E-28,0.211406842,3'UTR
cg17429587,8.83E-28,0.251120366,Body
cg17774559,7.63E-28,0.64003081,Body
cg04738673,7.52E-28,0.49896774,IGR
cg23138608,6.73E-28,0.33928128,Body
cg08663890,5.90E-28,-0.617001555,IGR
cg01485790,5.81E-28,0.404896907,Body
cg01914107,5.73E-28,0.240632635,Body
cg25349034,5.72E-28,0.504123131,Body
cg16659880,5.58E-28,0.214692161,Body
cg10641258,5.49E-28,-0.53175541,IGR
cg05833610,5.11E-28,0.371330524,Body
cg15172484,4.72E-28,0.436490061,3'UTR
cg03139053,4.55E-28,-0.358603624,Body
cg10216414,4.14E-28,-0.389718992,TSS1500
cg05642379,4.09E-28,-0.206779624,IGR
cg17306740,3.49E-28,-0.363480904,1stExon
cg13376120,3.35E-28,-0.334120832,IGR
cg17007374,2.73E-28,0.459558743,IGR
cg12111714,2.57E-28,0.569576473,Body
cg13116789,2.04E-28,0.317359083,Body
cg03025825,1.92E-28,0.565667974,Body
cg19005368,1.91E-28,-0.343743668,5'UTR
cg02441833,1.75E-28,-0.451787133,IGR
cg25958716,1.72E-28,0.344353307,Body
cg22892373,1.57E-28,0.452399177,Body
cg12535744,1.51E-28,0.399419664,Body
cg00847857,1.49E-28,0.558399921,TSS200
cg26923629,1.49E-28,0.258179622,3'UTR
cg13123962,1.31E-28,0.251826066,Body
cg17586256,1.21E-28,-0.47018154,Body
cg16581738,1.19E-28,0.511387688,Body
cg07048519,1.18E-28,0.488771831,1stExon
cg13802506,1.10E-28,0.367203345,Body
cg20425384,1.07E-28,-0.277831945,IGR
cg17960111,1.00E-28,0.364247354,Body
cg26938118,9.41E-29,0.458414877,Body
cg04880138,8.92E-29,0.475662454,Body
cg14829516,8.12E-29,0.42290231,Body
cg05256204,7.05E-29,0.498291873,IGR
